pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
Kepler-1293 b,0.97,0.871,5.57654784,1183.0,6241.0,1.18,1.28,0.0,0.6778270784262174,-0.0791879487595267,0.9257094271442236,-0.174708240586839,47.88413188665431,51.300319130283555,0.43975,0.029924766742950887,1186.540099905691,10.613074993833893,0.7091687089620342,0.005128176581257619,0.0
Kepler-238 c,2.39,6.3,6.155557,1146.0,5751.0,1.23,1.43,0.34,0.5851008309032576,1.8084904382571985,1.1029218676143624,-0.1644890525623271,47.031128715660635,53.83047211589142,0.56225,0.046063622523760304,1151.2788911412229,18.18399682648933,0.5975264812417149,0.0036946889162757387,0.0
Kepler-382 c,1.59,3.15,12.162701,882.0,5600.0,1.0,0.95,0.082,-0.0765134757470495,0.3760756622268598,1.2459950160199358,-0.1562385516328407,43.83431334274103,49.87914212411895,0.6,0.10941783201553196,891.6506527837699,15.764301682826606,0.15056908628451854,0.013880363420253805,0.0
Kepler-364 b,1.55,3.02,25.745718,753.0,6108.0,1.08,1.28,-0.031,-0.3998022846784496,-0.2512998016934046,1.2570239334027054,-0.1556025546331813,44.61008944533288,51.88407215957398,0.473,0.17386302392779354,766.0918857017629,15.63347937662486,0.23465828779061754,0.02633022127324598,0.0
TOI-3919 b,12.319,1233.17422,7.433234,1198.0,6100.0,1.21,1.32,0.175,0.7154188003949848,0.8924112210284935,8.125938415762473,0.2405024165150207,46.77090620584993,92.53005515603078,0.475,1.0,1317.8000000000002,112.05790882183864,0.5682924015557864,0.00033700836239178365,0.0
KIC 9663113 b,4.6,19.2,572.3847,264.0,6065.0,0.98,1.03,-0.28,-1.6252924208602686,-1.6337466204203592,0.9073724007561438,-0.1757656692863879,57.41208390135694,60.863301876301755,0.48375,0.7501592345929659,283.8042037932543,22.88177554679516,0.01868223551136435,0.3978141455935914,0.9854312631710219
Kepler-104 c,3.13,7.14431,23.668205,668.0,5711.0,0.82,1.35,-0.42,-0.6128220425014652,-2.4110259562507754,0.7292419030509651,-0.1860377982865854,44.48638573779128,52.59417078603651,0.5722499999999999,0.2331763303017895,683.5761788641596,16.920998981075908,0.21100648978198797,0.030505928519456993,0.0
Kepler-1046 b,1.71,3.57,14.37508035,786.0,5913.0,1.04,1.04,0.0,-0.3171004963471612,-0.0791879487595267,1.220888478506207,-0.1576863530784762,44.294818699989975,51.44492959073757,0.5217499999999999,0.15662154304662612,798.3104532834649,16.182815230111533,0.20065401643767725,0.021196683520332157,0.0
Kepler-1385 b,0.85,0.543,2.88879862,1423.0,5732.0,1.15,1.29,0.41,1.279294629926497,2.197130106172406,0.7515570934256057,-0.1847509635382109,48.485061650950314,50.23334148035254,0.567,0.010636367960633759,1424.5135551607984,8.951760917797781,0.7946010821296611,0.0020071760492512527,0.0
Kepler-1304 b,2.29,5.86,16.1288853,715.0,5259.0,0.85,0.81,-0.05,-0.4950346469993272,-0.356787711556104,1.1174462729543675,-0.1636514836607311,43.39482940162608,51.13653028431172,0.68525,0.2060639893986812,729.7335752420057,17.916331502230488,0.07053472898718155,0.026159085472933517,0.0
4 UMa b,12.6,2511.48007,270.27,912.5307146386988,4415.0,1.23,18.11,-0.25,0.0,-1.4671867627424129,15.819350403124211,0.6841531186909257,37.70903730923851,95.17020630549659,0.89625,1.0,1003.7837861025688,158.1239367191304,2.6745518464731775,0.0008979639328092086,0.0
HD 21411 b,9.52,65.9,84.288,912.5307146386988,5605.0,0.89,0.83,-0.265,0.0,-1.550466691581386,0.7271290869288893,-0.1861596366019736,42.82783451168283,62.71827322157311,0.59875,0.6820623686375638,974.7710007067988,29.467429676928152,0.03173252784502912,0.0032026186028960534,0.0
K2-348 b,3.26,10.7,4.688418,908.0,5077.0,0.83,0.85,0.13,-0.0113544910011859,0.642571434511574,1.0068124506003238,-0.1700313282670522,43.788208016530774,51.740818991213445,0.73075,0.12773825420366947,919.5986334816931,20.290890699985866,0.15374658282684617,0.008228052520602535,0.0
TOI-3837 b,10.873,187.51876,11.88865,1178.0,5905.0,0.89,1.2,-0.26,0.6652965044366282,-1.5227067153017284,1.5861561755498417,-0.1366227118043845,44.788978300404686,75.30210080018114,0.5237499999999999,0.9976594705754837,1295.524285633792,46.512072342315065,0.30156221325861665,0.0006616465446288595,0.0
TOI-561 d,2.615,13.33,25.71268,600.0,5342.0,0.81,0.84,-0.4,-0.7832378487598777,-2.2999860511321444,1.9493362678180373,-0.1156794550002797,43.463271133604806,57.641626844490304,0.6645,0.4349706498764471,626.0982389925869,25.286996635677642,0.059178741728311945,0.03854424356289322,0.0
EPIC 212587672 c,2.32,5.99,23.228555,658.0,6004.0,0.99,0.98,-0.18,-0.6378831904806435,-1.078547094827205,1.1128864447086804,-0.1639144321426691,44.00329925698242,53.20291276578087,0.499,0.2538024693909746,674.7002024859261,17.996474750580344,0.13753817992184741,0.035420773095066985,0.0
HD 73526 c,13.3,715.09,379.1,912.5307146386988,5633.0,1.01,1.53,0.232,0.0,1.2088749506165917,4.04256882808525,0.0050295485868891,42.86829239215806,85.02101713340673,0.59175,0.9999999999999987,1003.7837861025686,82.12446523097537,0.040370351141883,0.001324160177113459,0.0
K2-339 b,1.92,4.35,19.507428,508.0,4857.0,0.74,0.72,-0.11,-1.013800410168318,-0.6899074269119966,1.1800130208333333,-0.1600434900065546,45.762183338103604,51.70362584790149,0.78575,0.3548824148855831,526.0280266761876,16.858232410309213,0.03571855778287416,0.09991716672607873,0.1735137962632377
HD 73534 b,13.7,353.42696,1750.0,912.5307146386988,4917.0,1.16,2.58,0.232,0.0,1.2088749506165917,1.883035643880868,-0.1195027675191915,42.75202317787804,76.6881810294325,0.77075,0.9999998053350633,1003.7837683387953,56.8862855089634,0.024038354152457777,0.001625422714400088,0.0
GJ 411 b,1.45,2.69,12.9394,349.83,3719.0,0.39,0.37,-0.362,-1.4101925877549817,-2.089010231406746,1.2794292508917957,-0.154310522586433,54.62922639579544,51.21865705785291,1.0,0.4847569187895647,366.7882512900153,15.25492797709012,0.004263064653188683,0.3877001687413879,0.7264296830207801
GJ 687 b,4.32,17.2,38.142,912.5307146386988,3413.0,0.4,0.42,0.063,0.0,0.2705877523641605,0.9216392318244168,-0.1749429537433152,42.651713312944594,50.62946146860926,1.0,0.15529891323592843,926.7022174664783,22.348087995106805,0.001895241726024262,0.006711807257672306,0.0
GJ 887 b,1.88,4.2,9.262,468.0,3688.0,0.49,0.47,-0.06,-1.1140450020850312,-0.4123076641154194,1.1883205070167495,-0.1595644279097056,47.370574355714325,50.694382174653505,1.0,0.3809533166902821,485.8286152211052,16.74031952718766,0.00831341315339232,0.13398759432794002,0.3130950860378291
HD 64114 b,4.41,17.8,45.791,912.5307146386988,5676.0,0.95,0.88,0.014262971257932,0.0,-3.3709117781417086e-16,0.9152565032059689,-0.1753110221683552,43.05016079941627,53.39487274184482,0.581,0.17054836103084806,928.0937764158928,22.501357983710918,0.056342743394118204,0.006584553313126927,0.0
HD 220842 b,13.1,1010.6994,218.47,912.5307146386988,5960.0,1.13,1.42,-0.17,0.0,-1.0230271422678892,5.889513431618204,0.1115360338217173,43.032517851155234,88.93794486934968,0.51,1.0,1003.7837861025688,98.37695563339341,0.06292989955816745,0.0011929453967082996,0.0
HD 221585 b,13.5,511.7063,1173.0,912.5307146386988,5620.0,1.19,1.85,0.29,0.0,1.5308906754606209,2.8077163237311384,-0.0661798421932146,42.775734781798796,81.28062868709614,0.595,0.9999999999479339,1003.7837860978175,68.95432641436837,0.02754101199074629,0.001461336667555215,0.0
HD 238914 b,12.8,1906.98,4100.0,912.5307146386988,4769.0,1.47,12.73,-0.25,0.0,-1.4671867627424129,11.639282226562498,0.4431039996886936,44.733726236779994,94.58658820681472,0.80775,1.0,1003.7837861025688,136.70553756157796,0.2935846709590335,0.0009789460038475424,0.0
HD 73267 c,12.8,1630.77756,17071.78045,912.5307146386988,5317.0,0.93,0.96,0.03,0.0,0.0873719089184195,9.953476318359373,0.3458897888632205,42.57564420695111,93.05079117967196,0.67075,1.0,1003.7837861025688,126.4184325484223,0.0009967350858360504,0.001029613473146483,0.0
HD 20781 b,1.21,1.93,5.3135,912.5307146386988,5256.0,0.7,0.83,-0.11,0.0,-0.6899074269119966,1.3182159688545865,-0.1520738355758376,43.86578360227198,48.469628233977275,0.6859999999999999,0.09318446153640442,921.0340829666025,14.145033880167073,0.1549103152132852,0.01383192048370148,0.0
HD 67087 c,12.9,1540.0,2374.0,912.5307146386988,6330.0,1.36,1.55,0.25,0.0,1.3088108652233592,9.25425154738297,0.3055680745013659,42.71123691177143,92.88913187661606,0.4175,1.0,1003.7837861025688,122.37241417876001,0.01944677591980031,0.0010470290758340084,0.0
HD 65216 c,13.4,645.1949,5370.0,912.5307146386988,5612.0,0.87,0.89,-0.168,0.0,-1.011923151756026,3.5931994876364444,-0.020883924362946,42.589286506890886,83.69369684744264,0.597,0.999999999999948,1003.7837861025639,77.71611574165392,0.002298746012399957,0.0013643505266257886,0.0
HD 290327 b,13.3,772.3269,2443.0,912.5307146386988,5505.0,0.84,0.95,-0.14,0.0,-0.8564672845899429,4.366142235287467,0.0236888339009388,42.60162570920226,85.61208312863273,0.62375,1.0,1003.7837861025688,85.34788884633477,0.004099687078816151,0.0012930562938116834,0.0
HD 151450 b,6.94,38.45724,21.89288,912.5307146386988,6091.98,1.14,1.17,0.014262971257932,0.0,-3.3709117781417086e-16,0.7984710445232499,-0.1820456089594483,44.20390872099965,59.34285364223311,0.4770050000000001,0.36282573367409493,945.6396772425919,26.364973777826428,0.2161524610059672,0.004527322606861694,0.0
HD 4313 b,13.4,612.45841,356.21,912.5307146386988,4943.0,1.63,5.14,0.14,0.0,0.6980913870708896,3.41088443974159,-0.031397360943316,44.64992860108777,83.83508379428177,0.76425,0.9999999999997085,1003.783786102542,75.71883524740643,0.28160549492494535,0.0013862213138078117,0.0
HD 330075 b,14.3,152.5584,3.38773,990.0,5000.0,0.47,0.84,0.05,0.1941469224280761,0.1984118140370504,0.7460433273020686,-0.1850689221002064,43.86453309583992,69.6360235985267,0.75,0.9915217178421638,1088.160650066374,36.58205232307001,0.17541063177133176,0.0014301609535264147,0.0
HD 31253 b,14.1,197.0546,466.0,912.5307146386988,6130.0,1.7,1.75,0.17,0.0,0.8646512447488358,0.991170464262361,-0.1709333439440578,43.053163021648665,72.3714985722179,0.4675,0.9994050620215483,1003.7294961847044,41.869883745034386,0.0645481650692258,0.0019062076793262197,0.0
HD 31527 b,3.22,10.47,16.5535,912.5307146386988,5898.0,0.96,1.07,-0.17,0.0,-1.0230271422678892,1.0097990046680296,-0.1698591047059845,44.06481626007036,53.01606518230817,0.5255000000000001,0.1291176198324368,924.313094028513,20.195910046558822,0.19137414177376239,0.008111634173365545,0.0
